Comment,Designator,Footprint,LCSC,Quantity
MountingHole_M3_3.2mm_Pad,H3,MountingHole_3.2mm_Pad,,1
G5Q-1A,K1,Relay_SPST_Omron-G5Q-1A,,1
DHT11,U3,Aosong_DHT11_5.5x12.0_P2.54mm,,1
2N2222A-TO92,Q3,TO-92_Inline_Wide_EBC,,1
G5Q-1A,K6,Relay_SPST_Omron-G5Q-1A,,1
Screw_Terminal_9_P3.50mm,J2,"TerminalBlock_Phoenix_PT-1,5-9-3.5-H_1x09_P3.50mm_Horizontal",,1
1N4007,D4,D_DO-41_SOD81_P7.62mm_Horizontal,,1
External Relays,J1,PinHeader_1x18_P2.54mm_Vertical,,1
MountingHole_M3_3.2mm_Pad,H2,MountingHole_3.2mm_Pad,,1
100nF_Ceramic,C6,C_Disc_D5.0mm_W2.5mm_P2.50mm,,1
4.7k,R7,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
2N2222A-TO92,Q4,TO-92_Inline_Wide_EBC,,1
1N4007,D3,D_DO-41_SOD81_P7.62mm_Horizontal,,1
1N4007,D2,D_DO-41_SOD81_P7.62mm_Horizontal,,1
2N2222A-TO92,Q5,TO-92_Inline_Wide_EBC,,1
G5Q-1A,K5,Relay_SPST_Omron-G5Q-1A,,1
4.7k,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
ESP32_DevKit_V1_DOIT_30GPIOs,A1,DOIT_ESP32_DEVKIT_30Pins,,1
1N4007,D5,D_DO-41_SOD81_P7.62mm_Horizontal,,1
G5Q-1A,K2,Relay_SPST_Omron-G5Q-1A,,1
Resistor,R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
MountingHole_M3_3.2mm_Pad,H1,MountingHole_3.2mm_Pad,,1
4.7k,R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
4.7k,R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
470uF_10V,C8,CP_Radial_D8.0mm_P3.50mm,,1
KBP210G,D7,Diode_Bridge_KBP,,1
LM2596S-5,U2,TO-263-5_TabPin3,,1
2N2222A-TO92,Q1,TO-92_Inline_Wide_EBC,,1
1N4007,D1,D_DO-41_SOD81_P7.62mm_Horizontal,,1
2N2222A-TO92,Q6,TO-92_Inline_Wide_EBC,,1
DS18B20,J3,PinHeader_1x03_P2.54mm_Vertical,,1
1N4007,D6,D_DO-41_SOD81_P7.62mm_Horizontal,,1
4.7k,R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
G5Q-1A,K4,Relay_SPST_Omron-G5Q-1A,,1
G5Q-1A,K3,Relay_SPST_Omron-G5Q-1A,,1
100nF_Ceramic,C9,C_Disc_D5.0mm_W2.5mm_P2.50mm,,1
2N2222A-TO92,Q2,TO-92_Inline_Wide_EBC,,1
SS34,D8,D_SMC,,1
MountingHole_M3_3.2mm_Pad,H4,MountingHole_3.2mm_Pad,,1
4.7k,R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
12uH_5.2A_1260,L1,L_Bourns_SRR1260,,1
1000uF_50V,C5,CP_Radial_D16.0mm_P7.50mm,,1
3.2 lcd tft,J4,PinSocket_1x14_P2.54mm_Vertical,,1
